respondent_id,segment,model,preference_1to5,recommend_1to7,purchase_experience,purchase_intent_1to5,brand_loyalty_1to5
70,HighEnd,S25+,3,6,없다,2,4
71,HighEnd,S25+,3,7,있다,4,4
72,HighEnd,S25+,3,7,있다,3,5
73,HighEnd,S25+,2,7,있다,2,5
74,HighEnd,S25+,3,7,있다,3,5
75,HighEnd,S25+,3,5,있다,3,5
76,HighEnd,S25+,2,7,있다,3,4
77,HighEnd,S25+,4,7,없다,1,3
78,HighEnd,S25+,3,7,없다,3,5
79,HighEnd,S25+,4,6,있다,2,4
80,HighEnd,S25+,2,5,있다,3,4
81,HighEnd,S25+,3,6,있다,3,4
82,HighEnd,S25+,2,7,있다,2,4
83,HighEnd,S25+,2,7,없다,3,5
84,HighEnd,S25+,2,7,있다,3,2
85,HighEnd,S25+,2,7,있다,3,4
86,HighEnd,S25+,4,7,있다,2,5
87,HighEnd,S25+,2,7,있다,2,4
88,HighEnd,S25+,3,7,있다,3,5
89,HighEnd,S25+,3,4,없다,2,3
90,HighEnd,S25+,3,2,있다,3,5
91,HighEnd,S25+,1,7,있다,2,5
92,HighEnd,S25+,1,5,없다,4,4
93,HighEnd,S25+,3,4,있다,3,3
94,HighEnd,S25+,2,7,있다,3,4
95,HighEnd,S25+,2,7,없다,2,2
96,HighEnd,S25+,4,7,없다,3,4
97,HighEnd,S25+,4,3,없다,4,4
98,HighEnd,S25+,2,4,있다,4,5
99,HighEnd,S25+,4,7,없다,4,4
100,HighEnd,S25+,2,4,없다,4,5
101,HighEnd,S25+,3,4,없다,3,3
102,HighEnd,S25+,2,6,있다,1,5
103,HighEnd,S25+,1,6,있다,3,3
104,HighEnd,S25+,2,6,없다,4,5
105,HighEnd,S25+,1,5,있다,3,3
106,HighEnd,S25+,3,3,없다,3,5
107,HighEnd,S25+,3,7,없다,2,4
108,HighEnd,S25+,2,4,있다,5,5
109,HighEnd,S25+,2,5,있다,2,5
110,HighEnd,S25+,3,7,없다,3,4
111,HighEnd,S25+,2,5,없다,2,3
112,HighEnd,S25+,3,6,없다,3,4
113,HighEnd,S25+,3,5,있다,4,5
114,HighEnd,S25+,3,6,있다,1,5
115,HighEnd,S25+,3,6,있다,3,4
116,HighEnd,S25+,2,5,있다,3,5
117,HighEnd,S25+,2,7,없다,2,3
118,HighEnd,S25+,3,7,있다,3,4
119,HighEnd,S25+,3,7,있다,4,4
120,HighEnd,S25+,2,7,없다,3,4
121,HighEnd,S25+,2,7,있다,3,5
122,HighEnd,S25+,2,6,없다,3,2
123,HighEnd,S25+,3,7,있다,3,5
124,HighEnd,S25+,2,6,있다,2,4
125,HighEnd,S25+,4,6,있다,3,4
126,HighEnd,S25+,3,7,없다,4,4
127,HighEnd,S25+,3,6,있다,3,5
128,HighEnd,S25+,2,7,있다,3,3
129,HighEnd,S25+,2,6,있다,3,4
130,HighEnd,S25+,3,6,있다,3,4
131,HighEnd,S25+,3,6,있다,2,3
132,HighEnd,S25+,3,5,없다,5,3
133,HighEnd,S25+,2,5,있다,4,4
134,HighEnd,S25+,3,5,있다,3,3
135,HighEnd,S25+,3,6,없다,3,4
136,HighEnd,S25+,2,5,없다,5,3
1,HighEnd,S25 Edge,5,7,있다,4,5
2,HighEnd,S25 Edge,2,7,있다,4,3
3,HighEnd,S25 Edge,2,6,있다,2,3
4,HighEnd,S25 Edge,4,5,있다,3,4
5,HighEnd,S25 Edge,2,6,있다,3,5
6,HighEnd,S25 Edge,2,7,있다,1,4
7,HighEnd,S25 Edge,2,6,있다,3,5
8,HighEnd,S25 Edge,3,7,있다,1,5
9,HighEnd,S25 Edge,4,5,있다,2,5
10,HighEnd,S25 Edge,5,7,있다,1,5
11,HighEnd,S25 Edge,1,4,있다,2,4
12,HighEnd,S25 Edge,4,5,있다,4,5
13,HighEnd,S25 Edge,3,7,있다,3,4
14,HighEnd,S25 Edge,3,3,있다,2,5
15,HighEnd,S25 Edge,2,7,있다,4,5
16,HighEnd,S25 Edge,4,5,있다,1,4
17,HighEnd,S25 Edge,3,7,없다,2,3
18,HighEnd,S25 Edge,1,7,있다,2,5
19,HighEnd,S25 Edge,4,7,있다,4,5
20,HighEnd,S25 Edge,2,4,있다,3,5
21,HighEnd,S25 Edge,5,7,없다,1,4
22,HighEnd,S25 Edge,4,7,있다,1,4
23,HighEnd,S25 Edge,1,5,없다,4,4
24,HighEnd,S25 Edge,1,7,있다,2,3
25,HighEnd,S25 Edge,3,7,있다,1,5
26,HighEnd,S25 Edge,3,5,없다,2,5
27,HighEnd,S25 Edge,5,6,있다,3,5
28,HighEnd,S25 Edge,3,7,있다,2,5
29,HighEnd,S25 Edge,1,7,있다,3,4
30,HighEnd,S25 Edge,3,6,있다,4,5
31,HighEnd,S25 Edge,3,7,있다,1,4
1,HighEnd,Z Fold7,3,7,없다,5,4
2,HighEnd,Z Fold7,2,6,있다,2,4
3,HighEnd,Z Fold7,4,3,있다,4,4
4,HighEnd,Z Fold7,3,6,있다,2,4
5,HighEnd,Z Fold7,3,6,있다,4,5
6,HighEnd,Z Fold7,3,6,있다,2,5
7,HighEnd,Z Fold7,4,7,있다,2,4
8,HighEnd,Z Fold7,3,5,있다,2,4
9,HighEnd,Z Fold7,4,6,있다,1,5
10,HighEnd,Z Fold7,3,6,있다,2,4
11,HighEnd,Z Fold7,3,5,있다,2,5
12,HighEnd,Z Fold7,3,7,있다,3,5
13,HighEnd,Z Fold7,3,5,있다,4,3
14,HighEnd,Z Fold7,4,6,있다,3,4
15,HighEnd,Z Fold7,3,5,있다,2,4
16,HighEnd,Z Fold7,2,7,없다,4,5
17,HighEnd,Z Fold7,3,7,있다,4,3
18,HighEnd,Z Fold7,2,7,있다,3,5
19,HighEnd,Z Fold7,3,6,있다,5,5
20,HighEnd,Z Fold7,2,3,있다,4,4
21,HighEnd,Z Fold7,3,6,없다,3,4
22,HighEnd,Z Fold7,4,6,있다,4,5
23,HighEnd,Z Fold7,3,5,없다,5,4
24,HighEnd,Z Fold7,3,4,있다,4,4
25,HighEnd,Z Fold7,4,2,있다,3,3
26,HighEnd,Z Fold7,4,7,있다,1,4
27,HighEnd,Z Fold7,3,7,없다,1,5
28,HighEnd,Z Fold7,3,7,있다,2,4
29,HighEnd,Z Fold7,4,7,있다,1,5
30,HighEnd,Z Fold7,3,6,있다,3,3
31,HighEnd,Z Fold7,1,3,있다,2,4
32,HighEnd,Z Fold7,4,7,있다,3,4
33,HighEnd,Z Fold7,4,4,있다,3,4
34,HighEnd,Z Fold7,2,7,없다,4,4
1,HighEnd,Z Flip7,2,4,있다,4,5
2,HighEnd,Z Flip7,2,7,없다,2,5
3,HighEnd,Z Flip7,3,7,있다,5,4
4,HighEnd,Z Flip7,3,7,있다,3,5
5,HighEnd,Z Flip7,4,4,없다,2,5
6,HighEnd,Z Flip7,3,6,있다,1,4
7,HighEnd,Z Flip7,3,7,있다,2,5
8,HighEnd,Z Flip7,4,6,없다,4,3
9,HighEnd,Z Flip7,4,4,있다,2,5
10,HighEnd,Z Flip7,3,7,없다,2,4
11,HighEnd,Z Flip7,3,7,없다,3,5
12,HighEnd,Z Flip7,4,6,있다,3,5
13,HighEnd,Z Flip7,5,4,없다,1,5
14,HighEnd,Z Flip7,2,7,있다,3,5
15,HighEnd,Z Flip7,4,7,없다,1,4
16,HighEnd,Z Flip7,3,7,있다,4,5
17,HighEnd,Z Flip7,3,5,있다,3,5
18,HighEnd,Z Flip7,4,6,있다,2,4
19,HighEnd,Z Flip7,2,6,있다,1,5
20,HighEnd,Z Flip7,3,7,없다,3,5
21,HighEnd,Z Flip7,4,6,없다,2,4
22,HighEnd,Z Flip7,4,7,있다,2,4
23,HighEnd,Z Flip7,2,7,있다,4,4
24,HighEnd,Z Flip7,2,6,있다,4,4
25,HighEnd,Z Flip7,2,5,있다,4,5
26,HighEnd,Z Flip7,2,7,있다,3,4
27,HighEnd,Z Flip7,4,7,없다,4,5
28,HighEnd,Z Flip7,3,7,있다,3,4
29,HighEnd,Z Flip7,1,6,있다,3,5
30,HighEnd,Z Flip7,3,6,있다,3,4
31,HighEnd,Z Flip7,4,7,없다,2,4
32,HighEnd,Z Flip7,2,6,있다,3,3
33,HighEnd,Z Flip7,5,3,있다,4,4
34,HighEnd,Z Flip7,1,7,있다,3,5
35,HighEnd,Z Flip7,4,5,없다,2,4
36,HighEnd,Z Flip7,4,6,없다,2,4
37,HighEnd,Z Flip7,2,5,있다,2,4
38,HighEnd,Z Flip7,3,7,있다,4,5
39,HighEnd,Z Flip7,3,6,있다,2,4
40,HighEnd,Z Flip7,3,5,있다,4,5
41,HighEnd,Z Flip7,4,6,없다,3,4
42,HighEnd,Z Flip7,5,7,없다,2,4
43,HighEnd,Z Flip7,4,7,있다,3,5
44,HighEnd,Z Flip7,3,7,있다,3,5
45,HighEnd,Z Flip7,3,7,있다,4,5
46,HighEnd,Z Flip7,3,6,있다,2,5
47,HighEnd,Z Flip7,4,5,있다,2,5
48,HighEnd,Z Flip7,3,5,없다,2,4
49,HighEnd,Z Flip7,2,7,있다,5,5
50,HighEnd,Z Flip7,2,7,있다,1,3
51,HighEnd,Z Flip7,1,7,있다,2,4
52,HighEnd,Z Flip7,4,7,있다,2,5
53,HighEnd,Z Flip7,1,7,있다,5,5
54,HighEnd,Z Flip7,1,7,있다,3,5
55,HighEnd,Z Flip7,2,6,없다,5,5
56,HighEnd,Z Flip7,4,7,있다,1,4
57,HighEnd,Z Flip7,4,6,없다,2,4
58,HighEnd,Z Flip7,3,7,있다,3,4
59,HighEnd,Z Flip7,5,7,없다,2,4
60,HighEnd,Z Flip7,4,6,있다,2,5
61,HighEnd,Z Flip7,5,7,있다,4,5
62,HighEnd,Z Flip7,5,7,있다,1,5
63,HighEnd,Z Flip7,3,6,없다,3,4
64,HighEnd,Z Flip7,2,7,있다,3,5
65,HighEnd,Z Flip7,4,5,있다,3,5
66,HighEnd,Z Flip7,4,3,있다,2,3
67,HighEnd,Z Flip7,4,6,없다,1,5
68,HighEnd,Z Flip7,2,6,없다,2,4
69,HighEnd,Z Flip7,2,4,있다,4,4
70,HighEnd,Z Flip7,3,7,있다,2,5
71,HighEnd,Z Flip7,3,5,있다,3,5
72,HighEnd,Z Flip7,3,6,있다,3,5
73,HighEnd,Z Flip7,4,7,있다,1,4
74,HighEnd,Z Flip7,3,2,없다,4,4
75,HighEnd,Z Flip7,3,6,있다,3,5
76,HighEnd,Z Flip7,2,6,있다,4,4
77,HighEnd,Z Flip7,3,7,있다,4,4
78,HighEnd,Z Flip7,5,3,없다,4,4
79,HighEnd,Z Flip7,4,7,있다,4,4
80,HighEnd,Z Flip7,4,7,있다,2,5
81,HighEnd,Z Flip7,3,4,있다,3,4
82,HighEnd,Z Flip7,3,7,있다,3,4
83,HighEnd,Z Flip7,4,7,있다,2,4
84,HighEnd,Z Flip7,4,7,있다,4,5
85,HighEnd,Z Flip7,4,7,있다,5,5
86,HighEnd,Z Flip7,2,7,있다,1,4
87,HighEnd,Z Flip7,3,7,있다,4,5
88,HighEnd,Z Flip7,5,7,없다,2,4
89,HighEnd,Z Flip7,1,6,있다,2,4
90,HighEnd,Z Flip7,1,7,있다,2,5
91,HighEnd,Z Flip7,5,6,있다,2,5
92,HighEnd,Z Flip7,4,5,있다,1,5
93,HighEnd,Z Flip7,3,7,없다,4,4
94,HighEnd,Z Flip7,3,7,없다,1,3
95,HighEnd,Z Flip7,1,7,없다,5,4
96,HighEnd,Z Flip7,5,5,없다,2,5
97,HighEnd,Z Flip7,2,6,있다,3,5
98,HighEnd,Z Flip7,2,6,없다,2,3
99,HighEnd,Z Flip7,2,7,있다,4,4
1,MidRange,S25 FE,3,1,없다,3,4
2,MidRange,S25 FE,3,3,없다,2,3
3,MidRange,S25 FE,3,2,없다,2,2
4,MidRange,S25 FE,4,3,없다,4,2
5,MidRange,S25 FE,4,2,없다,3,3
6,MidRange,S25 FE,5,4,있다,3,4
7,MidRange,S25 FE,4,3,없다,4,3
8,MidRange,S25 FE,3,1,없다,3,5
9,MidRange,S25 FE,2,4,없다,2,3
10,MidRange,S25 FE,3,5,있다,3,3
11,MidRange,S25 FE,5,2,없다,4,4
12,MidRange,S25 FE,4,3,없다,3,2
13,MidRange,S25 FE,4,4,있다,3,4
14,MidRange,S25 FE,4,5,없다,4,3
15,MidRange,S25 FE,3,3,없다,3,3
16,MidRange,S25 FE,4,1,없다,3,2
17,MidRange,S25 FE,4,2,없다,4,3
18,MidRange,S25 FE,4,3,있다,2,2
19,MidRange,S25 FE,5,1,없다,5,3
20,MidRange,S25 FE,3,4,없다,1,2
21,MidRange,S25 FE,2,3,있다,1,3
22,MidRange,S25 FE,4,3,없다,2,3
23,MidRange,S25 FE,5,3,없다,3,4
24,MidRange,S25 FE,5,2,있다,2,5
25,MidRange,S25 FE,4,2,없다,4,4
26,MidRange,S25 FE,4,3,없다,3,3
27,MidRange,S25 FE,2,2,없다,2,2
28,MidRange,S25 FE,4,3,없다,3,4
29,MidRange,S25 FE,4,2,없다,3,2
30,MidRange,S25 FE,4,4,있다,2,4
31,MidRange,S25 FE,4,4,있다,1,5
32,MidRange,S25 FE,5,6,있다,3,3
33,MidRange,S25 FE,4,3,없다,3,3
34,MidRange,S25 FE,5,1,있다,4,4
35,MidRange,S25 FE,2,1,있다,2,3
36,MidRange,S25 FE,4,4,있다,1,3
37,MidRange,S25 FE,4,4,있다,1,2
38,MidRange,S25 FE,3,3,없다,2,3
1,MidRange,A56 5G,4,2,없다,3,4
2,MidRange,A56 5G,4,4,없다,4,3
3,MidRange,A56 5G,5,1,없다,2,4
4,MidRange,A56 5G,5,1,없다,4,5
5,MidRange,A56 5G,2,2,없다,4,4
6,MidRange,A56 5G,5,2,없다,4,5
7,MidRange,A56 5G,3,1,없다,3,4
8,MidRange,A56 5G,5,5,없다,3,2
9,MidRange,A56 5G,5,1,있다,2,3
10,MidRange,A56 5G,4,1,없다,2,3
11,MidRange,A56 5G,5,7,있다,3,2
12,MidRange,A56 5G,5,4,없다,4,5
13,MidRange,A56 5G,5,4,없다,2,3
14,MidRange,A56 5G,5,3,없다,1,1
15,MidRange,A56 5G,4,5,없다,4,4
16,MidRange,A56 5G,4,3,있다,1,4
17,MidRange,A56 5G,5,1,없다,2,3
18,MidRange,A56 5G,5,3,없다,5,4
19,MidRange,A56 5G,5,1,없다,3,5
20,MidRange,A56 5G,4,1,없다,3,1
21,MidRange,A56 5G,5,1,없다,2,2
22,MidRange,A56 5G,5,1,없다,3,4
23,MidRange,A56 5G,4,3,있다,4,1
24,MidRange,A56 5G,5,3,있다,2,5
25,MidRange,A56 5G,4,1,있다,4,4
26,MidRange,A56 5G,5,1,없다,3,4
27,MidRange,A56 5G,4,6,없다,3,4
28,MidRange,A56 5G,4,5,있다,3,2
29,MidRange,A56 5G,4,1,없다,4,1
30,MidRange,A56 5G,5,2,있다,3,4
1,MidRange,A36 5G,4,1,없다,2,3
2,MidRange,A36 5G,4,1,없다,4,3
3,MidRange,A36 5G,4,4,없다,2,3
4,MidRange,A36 5G,3,1,없다,2,4
5,MidRange,A36 5G,4,3,없다,4,2
6,MidRange,A36 5G,3,5,없다,2,3
7,MidRange,A36 5G,5,1,없다,2,3
8,MidRange,A36 5G,3,4,있다,3,4
9,MidRange,A36 5G,2,4,없다,2,3
10,MidRange,A36 5G,4,2,없다,2,3
11,MidRange,A36 5G,4,2,있다,2,3
12,MidRange,A36 5G,3,4,없다,1,4
13,MidRange,A36 5G,3,3,없다,3,3
14,MidRange,A36 5G,4,1,없다,5,3
15,MidRange,A36 5G,5,1,없다,2,3
16,MidRange,A36 5G,5,3,없다,3,4
17,MidRange,A36 5G,4,3,있다,2,3
18,MidRange,A36 5G,3,2,없다,3,2
19,MidRange,A36 5G,3,1,없다,2,3
20,MidRange,A36 5G,4,1,없다,2,4
21,MidRange,A36 5G,4,4,있다,2,4
22,MidRange,A36 5G,4,3,없다,3,4
23,MidRange,A36 5G,4,6,없다,2,4
1,MidRange,A26 5G,4,3,있다,3,3
2,MidRange,A26 5G,5,2,없다,3,3
3,MidRange,A26 5G,3,2,없다,3,4
4,MidRange,A26 5G,3,3,없다,1,3
5,MidRange,A26 5G,4,2,없다,3,5
6,MidRange,A26 5G,4,2,없다,3,2
7,MidRange,A26 5G,3,4,있다,3,3
8,MidRange,A26 5G,3,2,없다,3,5
9,MidRange,A26 5G,4,2,있다,2,4
10,MidRange,A26 5G,5,6,없다,3,3
11,MidRange,A26 5G,5,5,없다,3,5
12,MidRange,A26 5G,3,4,있다,3,2
13,MidRange,A26 5G,4,1,없다,3,2
14,MidRange,A26 5G,5,3,없다,2,2
15,MidRange,A26 5G,4,4,있다,3,5
16,MidRange,A26 5G,5,6,있다,3,5
17,MidRange,A26 5G,4,2,있다,4,4
18,MidRange,A26 5G,5,3,없다,3,5
19,MidRange,A26 5G,4,3,없다,3,4
20,MidRange,A26 5G,4,1,없다,3,3
21,MidRange,A26 5G,4,2,있다,2,4
22,MidRange,A26 5G,5,3,있다,3,3
23,MidRange,A26 5G,5,3,없다,2,3
24,MidRange,A26 5G,4,2,없다,3,2
25,MidRange,A26 5G,5,4,없다,3,3
26,MidRange,A26 5G,5,2,없다,3,2
27,MidRange,A26 5G,5,1,없다,3,3
28,MidRange,A26 5G,5,3,없다,2,3
29,MidRange,A26 5G,3,3,있다,3,5
30,MidRange,A26 5G,4,4,없다,3,2
31,MidRange,A26 5G,5,5,없다,3,4
32,MidRange,A26 5G,5,3,없다,3,2
33,MidRange,A26 5G,4,2,없다,3,2
34,MidRange,A26 5G,5,1,없다,2,3
35,MidRange,A26 5G,4,4,있다,2,2
36,MidRange,A26 5G,5,4,없다,3,2
37,MidRange,A26 5G,3,3,없다,2,3
38,MidRange,A26 5G,5,3,없다,3,4
39,MidRange,A26 5G,3,1,있다,1,2
40,MidRange,A26 5G,5,4,있다,2,5
41,MidRange,A26 5G,3,3,있다,3,4
42,MidRange,A26 5G,4,3,없다,2,2
43,MidRange,A26 5G,4,4,있다,3,5
44,MidRange,A26 5G,4,1,있다,3,4
45,MidRange,A26 5G,4,3,있다,2,5
46,MidRange,A26 5G,5,3,있다,4,4
47,MidRange,A26 5G,5,1,없다,2,4
48,MidRange,A26 5G,5,4,없다,3,3
49,MidRange,A26 5G,4,4,없다,3,3
50,MidRange,A26 5G,4,2,없다,3,4
51,MidRange,A26 5G,4,4,있다,3,4
52,MidRange,A26 5G,5,2,있다,2,5
53,MidRange,A26 5G,5,4,있다,3,4
54,MidRange,A26 5G,4,6,없다,4,3
55,MidRange,A26 5G,4,3,있다,3,5
56,MidRange,A26 5G,4,3,있다,4,5
57,MidRange,A26 5G,2,3,있다,3,3
58,MidRange,A26 5G,4,7,있다,4,4
59,MidRange,A26 5G,4,1,있다,3,4
1,LowEnd,A16,3,3,있다,5,4
2,LowEnd,A16,4,2,없다,5,5
3,LowEnd,A16,4,4,있다,4,5
4,LowEnd,A16,4,3,없다,4,4
5,LowEnd,A16,4,5,있다,4,5
6,LowEnd,A16,4,3,없다,3,4
7,LowEnd,A16,4,4,없다,4,4
8,LowEnd,A16,5,3,있다,2,4
1,LowEnd,A06,5,2,있다,3,5
2,LowEnd,A06,3,3,없다,2,3
3,LowEnd,A06,5,7,없다,3,4
4,LowEnd,A06,1,4,있다,4,4
5,LowEnd,A06,5,3,있다,3,5
6,LowEnd,A06,3,3,없다,5,4
7,LowEnd,A06,4,3,없다,4,4
8,LowEnd,A06,4,3,있다,3,4
9,LowEnd,A06,3,3,없다,4,4
10,LowEnd,A06,2,5,없다,4,3
11,LowEnd,A06,4,5,없다,5,4
12,LowEnd,A06,5,4,없다,5,4
13,LowEnd,A06,5,4,있다,4,5
14,LowEnd,A06,3,4,없다,4,4
15,LowEnd,A06,4,3,없다,5,4
16,LowEnd,A06,5,2,있다,2,4
17,LowEnd,A06,4,3,없다,4,4
18,LowEnd,A06,3,4,없다,5,3
19,LowEnd,A06,4,4,있다,3,5
20,LowEnd,A06,4,3,있다,3,3
21,LowEnd,A06,3,5,있다,2,4
22,LowEnd,A06,5,5,있다,3,5
23,LowEnd,A06,4,3,없다,5,3
24,LowEnd,A06,4,6,있다,4,4
25,LowEnd,A06,4,2,있다,3,5
26,LowEnd,A06,3,3,있다,5,4
27,LowEnd,A06,5,6,있다,3,4
28,LowEnd,A06,5,4,없다,4,3
29,LowEnd,A06,3,7,없다,4,4
30,LowEnd,A06,3,5,없다,4,3
31,LowEnd,A06,4,2,있다,4,3
32,LowEnd,A06,3,4,있다,5,5
33,LowEnd,A06,3,3,없다,4,4
34,LowEnd,A06,4,2,있다,4,5
35,LowEnd,A06,4,7,없다,5,5
36,LowEnd,A06,4,3,없다,4,3
37,LowEnd,A06,3,5,있다,4,4
38,LowEnd,A06,5,5,없다,4,5
39,LowEnd,A06,2,5,있다,4,5
40,LowEnd,A06,4,4,없다,4,5
1,LowEnd,M54 5G,5,6,있다,3,3
2,LowEnd,M54 5G,4,4,없다,4,5
